
2024/12/22 (01:50:36) | ===> btop++ v.1.4.0
2024/12/22 (01:50:36) | INFO: Logger set to DEBUG
2024/12/22 (01:50:36) | DEBUG: Using locale en_US.UTF-8
2024/12/22 (01:50:36) | INFO: Running on /dev/ttys001
2024/12/22 (01:50:36) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/12/22 (01:50:36) | DEBUG: checking intel
2024/12/22 (01:50:36) | DEBUG: no intel sensors found
2024/12/22 (01:50:36) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/22 (01:50:38) | INFO: Quitting! Runtime: 00:00:02

2024/12/22 (01:50:42) | ===> btop++ v.1.4.0
2024/12/22 (01:50:42) | INFO: Logger set to DEBUG
2024/12/22 (01:50:42) | DEBUG: Using locale en_US.UTF-8
2024/12/22 (01:50:42) | INFO: Running on /dev/ttys001
2024/12/22 (01:50:42) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/12/22 (01:50:42) | DEBUG: checking intel
2024/12/22 (01:50:42) | DEBUG: no intel sensors found
2024/12/22 (01:50:42) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/22 (01:52:11) | DEBUG: Writing new config file
2024/12/22 (01:52:11) | INFO: Quitting! Runtime: 00:01:29

2024/12/30 (10:47:47) | ===> btop++ v.1.4.0
2024/12/30 (10:47:47) | INFO: Logger set to DEBUG
2024/12/30 (10:47:47) | DEBUG: Using locale en_US.UTF-8
2024/12/30 (10:47:47) | INFO: Running on /dev/ttys001
2024/12/30 (10:47:47) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/12/30 (10:47:47) | DEBUG: checking intel
2024/12/30 (10:47:47) | DEBUG: no intel sensors found
2024/12/30 (10:47:47) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/30 (10:48:20) | DEBUG: Writing new config file
2024/12/30 (10:48:20) | INFO: Quitting! Runtime: 00:00:33

2024/12/30 (11:13:58) | ===> btop++ v.1.4.0
2024/12/30 (11:13:58) | INFO: Logger set to DEBUG
2024/12/30 (11:13:58) | DEBUG: Using locale en_US.UTF-8
2024/12/30 (11:13:58) | INFO: Running on /dev/ttys002
2024/12/30 (11:13:58) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/12/30 (11:13:58) | DEBUG: checking intel
2024/12/30 (11:13:58) | DEBUG: no intel sensors found
2024/12/30 (11:13:58) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/30 (11:17:05) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/30 (11:33:20) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/30 (11:33:21) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/30 (11:33:24) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/30 (11:33:24) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/30 (11:33:25) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/30 (11:33:25) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/30 (11:33:26) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/30 (11:33:26) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/30 (11:33:26) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/30 (11:33:28) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/30 (22:55:47) | DEBUG: Writing new config file
2024/12/30 (22:55:47) | INFO: Quitting! Runtime: 11:41:49

2024/12/30 (22:55:49) | ===> btop++ v.1.4.0
2024/12/30 (22:55:49) | INFO: Logger set to DEBUG
2024/12/30 (22:55:49) | DEBUG: Using locale en_US.UTF-8
2024/12/30 (22:55:49) | INFO: Running on /dev/ttys002
2024/12/30 (22:55:49) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/12/30 (22:55:49) | DEBUG: checking intel
2024/12/30 (22:55:49) | DEBUG: no intel sensors found
2024/12/30 (22:55:49) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/31 (21:14:06) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tokyo-night.theme
2024/12/31 (21:14:06) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/horizon.theme
2024/12/31 (21:14:07) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tokyo-night.theme
2024/12/31 (21:14:07) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/31 (21:14:09) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2024/12/31 (21:14:09) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tomorrow-night.theme
2024/12/31 (21:14:10) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/solarized_dark.theme
2024/12/31 (21:14:10) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_dark_v2.theme
2024/12/31 (21:14:11) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/elementarish.theme
2024/12/31 (21:14:11) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/HotPurpleTrafficLight.theme
2024/12/31 (21:14:12) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/onedark.theme
2024/12/31 (21:14:12) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/flat-remix-light.theme
2024/12/31 (21:14:13) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/onedark.theme
2024/12/31 (21:14:13) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/flat-remix-light.theme
2024/12/31 (21:14:14) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/everforest-dark-hard.theme
2024/12/31 (21:14:15) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/whiteout.theme
2024/12/31 (21:14:15) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/kyli0x.theme
2024/12/31 (21:14:15) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/dusklight.theme
2024/12/31 (21:14:16) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/kyli0x.theme
2024/12/31 (21:14:16) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/whiteout.theme
2024/12/31 (21:14:17) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/everforest-dark-hard.theme
2024/12/31 (21:14:20) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/whiteout.theme
2024/12/31 (21:14:20) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/everforest-dark-hard.theme
2024/12/31 (21:14:21) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/whiteout.theme
2024/12/31 (21:14:23) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/kyli0x.theme
2024/12/31 (21:14:23) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/dusklight.theme
2024/12/31 (21:14:23) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/adapta.theme
2024/12/31 (21:14:23) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_material_dark.theme
2024/12/31 (21:14:24) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/matcha-dark-sea.theme
2024/12/31 (21:14:24) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_dark.theme
2024/12/31 (21:14:24) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/phoenix-night.theme
2024/12/31 (21:14:24) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/paper.theme
2024/12/31 (21:14:25) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/ayu.theme
2024/12/31 (21:14:25) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/flat-remix.theme
2024/12/31 (21:14:25) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/ayu.theme
2024/12/31 (21:14:25) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/paper.theme
2024/12/31 (21:14:26) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/phoenix-night.theme
